日付,会場,レース,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,モーター番号,モーター2率,ボート番号,ボート2率,今節成績ほか
2026-07-19,びわこ,4,4,3761,山本光雄,54,滋賀,54,B1,5.24,32.95,5.02,28.26,26,38.96,25,40.00,3 1352      10
2026-07-19,びわこ,4,5,5187,小坂風太,26,福井,57,B2,3.16,4.55,3.70,13.04,50,37.88,55,30.30,416 3S       9
2026-07-19,びわこ,4,6,4272,大場広孝,44,福岡,58,B1,4.98,28.40,5.00,36.36,62,16.90,46,41.27,224 23       8
2026-07-19,びわこ,5,1,3940,飯山泰,48,東京,53,A1,6.40,48.03,6.09,43.75,16,36.36,17,47.54,425426
2026-07-19,びわこ,5,2,4593,小坂宗司,45,大阪,52,A2,6.07,38.53,5.94,40.82,48,33.85,52,47.83,52621       11
2026-07-19,びわこ,5,3,3286,坂東満,57,静岡,53,B2,4.02,22.58,2.78,13.04,23,36.36,28,11.32,6 656        1
2026-07-19,びわこ,5,4,4100,松田隆司,47,福岡,55,B1,4.71,26.44,5.57,57.14,46,29.82,29,31.25,1 1563       9
2026-07-19,びわこ,5,5,3508,久富政弘,54,佐賀,56,A2,5.61,38.55,4.52,27.59,70,32.84,19,23.33,61333       12
2026-07-19,びわこ,5,6,3843,上之晃弘,50,長崎,54,B1,5.17,33.33,4.93,26.67,63,32.14,44,42.47,3 5654
2026-07-19,びわこ,6,1,3775,泉啓文,51,岡山,59,B1,3.70,18.18,4.50,33.33,56,30.43,59,33.33,455 6        1
2026-07-19,びわこ,6,2,3251,平石和男,60,埼玉,50,A2,5.86,40.31,6.03,43.75,27,17.02,51,28.81,442143
2026-07-19,びわこ,6,3,4200,早川尚人,43,大阪,54,B1,4.05,17.24,4.33,11.11,20,30.65,70,34.33,241 22      10
2026-07-19,びわこ,6,4,4462,夏山亮平,40,大阪,56,B1,5.14,35.06,5.22,29.73,47,29.58,41,51.56,311 56      11
2026-07-19,びわこ,6,5,4292,麻生慎介,41,広島,53,A1,6.35,42.00,5.40,20.00,59,30.77,60,30.16,33124       12
2026-07-19,びわこ,6,6,5400,高村諒,23,滋賀,52,B2,2.06,3.45,1.30,0.00,44,31.25,23,29.03,2
2026-07-19,びわこ,7,1,3839,川合理司,50,静岡,64,B1,3.31,9.89,3.86,25.00,51,33.33,56,16.13,2 6 66
2026-07-19,びわこ,7,2,4350,篠崎元志,40,福岡,54,A1,7.71,63.27,7.33,53.49,66,18.67,11,37.50,113 31      12
2026-07-19,びわこ,7,3,4402,乙藤智史,41,福岡,54,A2,5.95,40.59,6.32,48.00,34,33.87,54,36.92,6 3111      11
2026-07-19,びわこ,7,4,3105,内山文典,63,東京,55,B1,5.17,30.26,5.40,25.00,65,24.24,61,36.67,2 4216       1
2026-07-19,びわこ,7,5,4202,浮田圭浩,43,岡山,55,B1,4.48,25.97,4.00,15.38,58,31.75,33,30.65,354 62
2026-07-19,びわこ,7,6,4552,杉山勝匡,37,佐賀,51,B1,4.61,28.17,5.71,42.86,25,25.71,13,24.59,6 464        3
2026-07-19,びわこ,8,1,3643,米田隆弘,54,岡山,54,B1,5.49,33.33,6.10,35.00,19,33.85,65,23.33,5 2311      12
2026-07-19,びわこ,8,2,4118,宇佐見淳,45,愛知,53,A2,5.87,38.66,5.80,30.00,43,29.23,30,30.00,243524
2026-07-19,びわこ,8,3,5318,河内一馬,25,愛知,56,B1,3.71,16.67,2.14,0.00,38,33.93,34,43.28,562 5        2
2026-07-19,びわこ,8,4,4272,大場広孝,44,福岡,58,B1,4.98,28.40,5.00,36.36,62,16.90,46,41.27,224 23       4
2026-07-19,びわこ,8,5,4892,柴田直哉,36,福岡,53,B1,5.18,33.73,4.58,26.32,53,27.40,16,26.23,666 5        1
2026-07-19,びわこ,8,6,5282,中本大樹,23,福井,54,B1,5.51,36.19,1.67,0.00,11,45.71,53,38.33,3 6215       3
2026-07-19,びわこ,9,1,4624,高田明,41,佐賀,51,A1,6.17,42.53,6.70,53.49,72,40.68,47,39.71,362134
2026-07-19,びわこ,9,2,3831,安藤裕貴,52,愛知,53,B1,4.35,27.96,4.47,36.84,36,31.03,66,33.85,6 341        1
2026-07-19,びわこ,9,3,5187,小坂風太,26,福井,57,B2,3.16,4.55,3.70,13.04,50,37.88,55,30.30,416 3S       4
2026-07-19,びわこ,9,4,4382,高山智至,41,滋賀,54,B1,4.94,27.50,4.21,15.79,54,35.48,14,7.94,444 34       3
2026-07-19,びわこ,9,5,4210,松村康太,43,福井,54,A2,5.49,28.57,5.58,16.67,32,30.00,15,41.27,15552
2026-07-19,びわこ,9,6,4100,松田隆司,47,福岡,55,B1,4.71,26.44,5.57,57.14,46,29.82,29,31.25,1 1563       5
2026-07-19,びわこ,10,1,4207,松下一也,43,静岡,54,A1,6.14,50.53,4.80,30.00,30,29.03,36,30.77,125153
2026-07-19,びわこ,10,2,4271,川崎公靖,44,広島,52,B1,4.25,21.74,3.58,11.54,29,44.44,50,32.26,166 46
2026-07-19,びわこ,10,3,3306,武田正紀,58,埼玉,55,B1,3.92,16.47,3.73,18.18,17,27.12,68,43.08,5 2414       3
2026-07-19,びわこ,10,4,3327,野長瀬正,58,静岡,52,A2,6.06,42.99,6.09,49.06,28,30.51,67,24.59,53341        2
2026-07-19,びわこ,10,5,4200,早川尚人,43,大阪,54,B1,4.05,17.24,4.33,11.11,20,30.65,70,34.33,241 22       6
2026-07-19,びわこ,10,6,3761,山本光雄,54,滋賀,54,B1,5.24,32.95,5.02,28.26,26,38.96,25,40.00,3 1352       4
2026-07-19,びわこ,11,1,3612,馬袋義則,53,兵庫,52,A1,7.08,58.91,6.54,45.83,31,27.27,43,40.00,54212        4
2026-07-19,びわこ,11,2,4462,夏山亮平,40,大阪,56,B1,5.14,35.06,5.22,29.73,47,29.58,41,51.56,311 56       6
2026-07-19,びわこ,11,3,3975,小野寺智,49,香川,52,A2,5.67,34.91,5.67,41.67,39,29.41,45,31.82,233 25       3
2026-07-19,びわこ,11,4,4593,小坂宗司,45,大阪,52,A2,6.07,38.53,5.94,40.82,48,33.85,52,47.83,52621        5
2026-07-19,びわこ,11,5,4213,重富伸也,42,長崎,54,B1,4.02,23.46,3.78,16.67,15,34.48,49,38.10,2 5263       2
2026-07-19,びわこ,11,6,4402,乙藤智史,41,福岡,54,A2,5.95,40.59,6.32,48.00,34,33.87,54,36.92,6 3111       7
2026-07-19,びわこ,12,1,4292,麻生慎介,41,広島,53,A1,6.35,42.00,5.40,20.00,59,30.77,60,30.16,33124        6
2026-07-19,びわこ,12,2,3508,久富政弘,54,佐賀,56,A2,5.61,38.55,4.52,27.59,70,32.84,19,23.33,61333        5
2026-07-19,びわこ,12,3,4350,篠崎元志,40,福岡,54,A1,7.71,63.27,7.33,53.49,66,18.67,11,37.50,113 31       7
2026-07-19,びわこ,12,4,3643,米田隆弘,54,岡山,54,B1,5.49,33.33,6.10,35.00,19,33.85,65,23.33,5 2311       8
2026-07-19,びわこ,12,5,4725,佐竹太一,39,兵庫,53,B1,5.01,27.27,4.35,24.32,22,30.00,62,36.07,1 1433       3
2026-07-19,びわこ,12,6,3837,秋山広一,51,香川,53,A2,6.53,46.08,6.75,50.00,52,30.91,72,25.42,2 4115       4
2026-07-19,三国,1,1,3984,坂口周,48,三重,54,A1,6.30,42.52,6.13,42.50,47,17.95,39,27.59,34          10
2026-07-19,三国,1,2,4119,泥谷一毅,45,大阪,53,B1,5.99,37.50,5.28,22.81,16,15.07,46,41.98,4            7
2026-07-19,三国,1,3,3901,松田憲幸,49,山口,52,B2,4.69,31.31,0.00,0.00,67,23.75,38,34.18,6            9
2026-07-19,三国,1,4,5404,内田壮,22,山口,53,B1,2.02,3.51,3.29,14.29,32,21.79,43,30.95,3            6
2026-07-19,三国,1,5,4919,吉田翔悟,35,長崎,54,B1,4.00,15.52,4.85,29.63,60,36.59,37,38.03,5            5
2026-07-19,三国,1,6,5431,得山大輝,21,広島,51,B2,1.56,1.52,0.00,0.00,69,28.75,13,32.43,6
2026-07-19,三国,2,1,4540,相原利章,38,東京,52,A2,5.40,32.99,5.50,34.62,41,20.51,35,34.88,54
2026-07-19,三国,2,2,4587,木田峰由,35,福井,56,A1,6.47,50.00,6.24,46.97,43,43.53,48,34.62,13          12
2026-07-19,三国,2,3,3596,河上年昭,56,埼玉,57,B1,4.00,17.24,0.00,0.00,44,40.00,47,34.94,5            8
2026-07-19,三国,2,4,5286,坂井滉哉,27,福岡,50,B1,4.70,25.77,3.00,9.09,39,32.95,36,27.38,4           10
2026-07-19,三国,2,5,4836,大谷健太,37,埼玉,51,B1,5.24,30.95,1.00,0.00,26,18.67,23,45.68,2           11
2026-07-19,三国,2,6,4182,吉田和仁,42,滋賀,56,B1,4.82,27.68,4.63,25.93,52,40.24,33,32.56,6            7
2026-07-19,三国,3,1,4578,藤山雅弘,37,大阪,54,A2,5.85,45.10,4.62,38.46,15,30.59,56,28.24,6            7
2026-07-19,三国,3,2,4003,表憲一,48,福井,54,B1,5.69,37.35,5.56,31.41,34,30.00,42,33.75,3           11
2026-07-19,三国,3,3,4848,仲谷颯仁,31,福岡,52,A1,7.53,50.00,6.24,36.00,20,41.18,19,42.50,32           8
2026-07-19,三国,3,4,4592,小林孝弘,45,山口,53,B1,4.74,25.64,3.91,22.73,23,43.90,71,34.15,2           12
2026-07-19,三国,3,5,3852,澤大介,53,三重,52,B1,4.62,22.97,4.97,25.81,66,36.90,20,26.19,5            9
2026-07-19,三国,3,6,3445,加藤高史,56,埼玉,54,B1,4.65,19.57,5.03,17.24,56,29.89,52,38.36,23
2026-07-19,三国,4,1,4925,森悠稀,33,兵庫,54,A2,5.63,30.77,6.57,56.76,57,39.29,70,28.75,42          11
2026-07-19,三国,4,2,4979,中野夢斗,30,愛知,53,B1,5.21,31.03,5.41,34.48,65,39.29,21,44.59,6            8
2026-07-19,三国,4,3,4060,島田一生,47,福岡,56,B1,4.36,26.03,4.68,29.41,42,48.28,40,31.40,2           12
2026-07-19,三国,4,4,4832,権藤俊光,39,大阪,52,A1,6.61,45.38,7.32,56.10,37,28.24,51,30.86,11           9
2026-07-19,三国,4,5,5355,萩原丈太,21,福井,56,B1,2.21,5.33,1.77,2.38,68,12.00,67,29.49,45
2026-07-19,三国,4,6,4531,武富智亮,37,佐賀,54,A2,6.11,38.21,4.50,22.22,17,36.05,26,39.44,21
2026-07-19,三国,5,1,4063,市橋卓士,46,徳島,55,A1,6.13,41.32,2.78,0.00,11,18.84,69,25.00,26          10
2026-07-19,三国,5,2,4919,吉田翔悟,35,長崎,54,B1,4.00,15.52,4.85,29.63,60,36.59,37,38.03,5            1
2026-07-19,三国,5,3,4596,葛原大陽,43,徳島,53,A2,5.89,37.30,7.50,70.00,70,34.21,65,31.65,3           11
2026-07-19,三国,5,4,4020,川上清人,46,香川,66,B1,4.41,26.74,3.28,13.79,27,37.50,27,32.56,44
2026-07-19,三国,5,5,4459,片岡雅裕,40,香川,53,A2,6.11,36.00,7.38,50.00,22,22.22,11,28.21,11          12
2026-07-19,三国,5,6,3471,赤峰和也,56,佐賀,54,B1,4.06,22.09,2.83,0.00,48,32.56,60,30.95,35
2026-07-19,三国,6,1,3339,泉具巳,61,兵庫,57,B1,4.56,34.44,4.79,33.33,53,36.71,49,25.64,54
2026-07-19,三国,6,2,4388,是澤孝宏,41,滋賀,52,A2,5.91,42.19,6.10,42.86,36,29.63,62,35.37,63          10
2026-07-19,三国,6,3,3853,岩崎正哉,53,福岡,58,A2,6.07,41.35,5.90,40.00,50,34.52,22,29.11,16
2026-07-19,三国,6,4,3897,白井英治,49,山口,54,A1,7.48,48.21,7.33,40.74,29,23.53,50,33.73,14          11
2026-07-19,三国,6,5,5404,内田壮,22,山口,53,B1,2.02,3.51,3.29,14.29,32,21.79,43,30.95,3            1
2026-07-19,三国,6,6,4016,西川新太,46,愛知,56,B1,5.48,35.96,5.39,42.11,30,47.62,45,16.67,13
2026-07-19,三国,7,1,4119,泥谷一毅,45,大阪,53,B1,5.99,37.50,5.28,22.81,16,15.07,46,41.98,4            1
2026-07-19,三国,7,2,4883,岡部大輝,30,東京,53,A2,5.96,41.76,5.43,28.57,12,30.49,14,30.23,3           11
2026-07-19,三国,7,3,4578,藤山雅弘,37,大阪,54,A2,5.85,45.10,4.62,38.46,15,30.59,56,28.24,6            3
2026-07-19,三国,7,4,4182,吉田和仁,42,滋賀,56,B1,4.82,27.68,4.63,25.93,52,40.24,33,32.56,6            2
2026-07-19,三国,7,5,4024,井口佳典,48,三重,52,A1,6.66,44.57,6.84,51.35,51,39.76,32,32.43,15          12
2026-07-19,三国,7,6,4598,加藤政彦,42,東京,52,B1,5.87,44.12,6.37,40.00,28,32.05,68,32.53,61
2026-07-19,三国,8,1,3596,河上年昭,56,埼玉,57,B1,4.00,17.24,0.00,0.00,44,40.00,47,34.94,5            2
2026-07-19,三国,8,2,3484,芝田浩治,54,兵庫,55,A2,5.82,42.45,6.78,57.50,63,34.88,61,40.51,4           12
2026-07-19,三国,8,3,4315,山崎昂介,42,長崎,54,B1,5.26,35.05,4.53,17.65,38,28.24,44,50.00,46
2026-07-19,三国,8,4,4848,仲谷颯仁,31,福岡,52,A1,7.53,50.00,6.24,36.00,20,41.18,19,42.50,32           3
2026-07-19,三国,8,5,4979,中野夢斗,30,愛知,53,B1,5.21,31.03,5.41,34.48,65,39.29,21,44.59,6            4
2026-07-19,三国,8,6,4683,向井田直,35,広島,46,B2,3.57,20.69,3.81,23.81,31,34.88,53,26.19,35
2026-07-19,三国,9,1,5339,石井伸長,25,香川,50,B1,4.99,28.75,2.11,0.00,24,37.65,72,31.03,22
2026-07-19,三国,9,2,3901,松田憲幸,49,山口,52,B2,4.69,31.31,0.00,0.00,67,23.75,38,34.18,6            1
2026-07-19,三国,9,3,4816,村松修二,35,広島,56,A2,5.19,29.59,6.32,48.39,40,27.63,59,27.59,65
2026-07-19,三国,9,4,3852,澤大介,53,三重,52,B1,4.62,22.97,4.97,25.81,66,36.90,20,26.19,5            3
2026-07-19,三国,9,5,4832,権藤俊光,39,大阪,52,A1,6.61,45.38,7.32,56.10,37,28.24,51,30.86,11           4
2026-07-19,三国,9,6,3992,関口智久,47,埼玉,55,B1,4.91,28.79,5.24,28.00,14,30.14,28,48.81,12
2026-07-19,三国,10,1,3808,秋田健太,51,埼玉,59,B1,4.18,21.52,3.17,5.56,59,26.83,30,38.96,55
2026-07-19,三国,10,2,5286,坂井滉哉,27,福岡,50,B1,4.70,25.77,3.00,9.09,39,32.95,36,27.38,4            2
2026-07-19,三国,10,3,3984,坂口周,48,三重,54,A1,6.30,42.52,6.13,42.50,47,17.95,39,27.59,34           1
2026-07-19,三国,10,4,4063,市橋卓士,46,徳島,55,A1,6.13,41.32,2.78,0.00,11,18.84,69,25.00,26           5
2026-07-19,三国,10,5,3922,菅沼佳昭,51,愛知,50,B1,3.84,16.83,3.41,8.82,55,37.50,15,32.53,62
2026-07-19,三国,10,6,4388,是澤孝宏,41,滋賀,52,A2,5.91,42.19,6.10,42.86,36,29.63,62,35.37,63           6
2026-07-19,三国,11,1,4836,大谷健太,37,埼玉,51,B1,5.24,30.95,1.00,0.00,26,18.67,23,45.68,2            2
2026-07-19,三国,11,2,3897,白井英治,49,山口,54,A1,7.48,48.21,7.33,40.74,29,23.53,50,33.73,14           6
2026-07-19,三国,11,3,4925,森悠稀,33,兵庫,54,A2,5.63,30.77,6.57,56.76,57,39.29,70,28.75,42           4
2026-07-19,三国,11,4,4003,表憲一,48,福井,54,B1,5.69,37.35,5.56,31.41,34,30.00,42,33.75,3            3
2026-07-19,三国,11,5,4596,葛原大陽,43,徳島,53,A2,5.89,37.30,7.50,70.00,70,34.21,65,31.65,3            5
2026-07-19,三国,11,6,4883,岡部大輝,30,東京,53,A2,5.96,41.76,5.43,28.57,12,30.49,14,30.23,3            7
2026-07-19,三国,12,1,4024,井口佳典,48,三重,52,A1,6.66,44.57,6.84,51.35,51,39.76,32,32.43,15           7
2026-07-19,三国,12,2,4459,片岡雅裕,40,香川,53,A2,6.11,36.00,7.38,50.00,22,22.22,11,28.21,11           5
2026-07-19,三国,12,3,4592,小林孝弘,45,山口,53,B1,4.74,25.64,3.91,22.73,23,43.90,71,34.15,2            3
2026-07-19,三国,12,4,4060,島田一生,47,福岡,56,B1,4.36,26.03,4.68,29.41,42,48.28,40,31.40,2            4
2026-07-19,三国,12,5,4587,木田峰由,35,福井,56,A1,6.47,50.00,6.24,46.97,43,43.53,48,34.62,13           2
2026-07-19,三国,12,6,3484,芝田浩治,54,兵庫,55,A2,5.82,42.45,6.78,57.50,63,34.88,61,40.51,4            8
2026-07-19,津,1,1,5010,宇留田翔,29,三重,54,A2,5.66,40.16,5.91,40.51,63,31.01,36,33.33,3            6
2026-07-19,津,1,2,5182,宮崎安奈,28,埼玉,47,B1,4.53,24.68,4.76,28.26,53,34.95,23,32.61,6            9
2026-07-19,津,1,3,5229,吉川晴人,23,滋賀,56,A2,5.27,34.51,2.82,11.76,73,36.97,72,30.69,5           11
2026-07-19,津,1,4,4989,石原翼,29,静岡,51,A2,6.17,43.10,6.88,60.61,64,35.48,11,37.82,5F
2026-07-19,津,1,5,5082,一色凌雅,27,愛知,58,B1,5.31,33.33,5.36,36.00,59,31.20,25,34.17,5
2026-07-19,津,1,6,5255,藤原仙二,22,滋賀,54,A1,6.65,46.77,6.15,43.59,28,35.29,43,28.13,41
2026-07-19,津,2,1,5279,石渡翔一,23,東京,54,B1,5.39,35.63,5.28,33.33,21,41.12,31,38.71,5            7
2026-07-19,津,2,2,5089,前田翔,26,愛知,52,A1,6.87,52.69,6.83,58.33,49,43.27,15,30.36,2            8
2026-07-19,津,2,3,5065,伊久間陽,27,群馬,53,A2,5.13,35.06,3.83,27.78,44,46.39,74,34.55,2
2026-07-19,津,2,4,5013,山下夏鈴,28,三重,45,B1,5.75,39.25,4.97,32.20,30,31.15,24,35.66,5           12
2026-07-19,津,2,5,5221,竹間隆晟,25,大阪,54,A1,6.80,51.15,6.60,50.00,13,35.35,17,34.78,4S
2026-07-19,津,2,6,5166,仲道大輔,26,愛知,52,A2,6.29,43.16,4.55,36.36,41,44.83,62,32.97,54
2026-07-19,津,3,1,5090,生方靖亜,25,群馬,55,B1,5.06,30.30,4.56,22.22,36,41.58,60,31.36,6            8
2026-07-19,津,3,2,5256,中山翔太,22,三重,52,A1,6.01,43.88,6.21,43.45,40,41.07,28,36.45,5            9
2026-07-19,津,3,3,5246,楠将太郎,24,埼玉,52,A2,5.22,38.55,3.56,22.22,70,29.92,65,31.51,2            7
2026-07-19,津,3,4,5019,柴田百恵,26,静岡,44,B1,5.30,31.48,4.50,21.43,20,33.98,32,49.48,5           11
2026-07-19,津,3,5,5216,長谷川晴,26,群馬,54,A1,6.24,40.29,3.50,14.29,58,37.61,57,37.80,22
2026-07-19,津,3,6,5035,櫻井優,28,埼玉,53,A2,5.58,36.79,3.44,16.67,48,32.23,33,46.99,2           10
2026-07-19,津,4,1,5135,仲航太,26,東京,54,B1,4.68,31.75,4.90,26.83,50,35.48,22,35.94,6
2026-07-19,津,4,2,5252,荒木颯斗,23,愛知,53,A2,5.94,42.50,4.52,33.33,38,39.81,73,33.61,3            9
2026-07-19,津,4,3,5110,杉山喜一,26,静岡,51,B1,5.34,32.58,4.94,25.71,18,37.50,26,38.68,5
2026-07-19,津,4,4,5087,佐藤航,26,埼玉,54,A1,6.62,55.08,4.33,26.67,51,43.86,20,32.50,3F
2026-07-19,津,4,5,5205,刑部亜里,29,静岡,48,A2,6.28,40.68,6.00,50.00,72,34.29,19,31.48,3           12
2026-07-19,津,4,6,4914,吉田裕平,29,愛知,51,A1,7.06,49.07,7.52,43.48,35,33.04,46,42.15,3           10
2026-07-19,津,5,1,5289,佃來紀,25,大阪,53,A2,5.84,41.00,3.29,5.88,39,43.10,29,37.61,1           10
2026-07-19,津,5,2,5226,藤田俊祐,24,東京,52,B1,5.69,38.89,0.00,0.00,61,33.04,37,35.29,64
2026-07-19,津,5,3,5213,湯淺紀香,27,群馬,47,B1,5.36,33.64,6.10,60.00,43,28.04,56,45.87,6           12
2026-07-19,津,5,4,5112,砂長知輝,26,埼玉,52,A1,7.08,49.55,7.04,53.85,68,33.58,40,34.00,11
2026-07-19,津,5,5,5068,前田滉,26,愛知,51,A1,7.63,61.05,8.18,72.73,27,34.17,52,31.82,1           11
2026-07-19,津,5,6,5191,飛田江己,25,埼玉,53,A1,6.91,52.24,6.36,45.45,56,36.70,34,39.60,43
2026-07-19,津,6,1,5045,平川香織,25,埼玉,46,A2,6.82,49.59,5.95,42.50,29,29.29,63,33.33,4           12
2026-07-19,津,6,2,5132,中野希一,27,埼玉,53,A1,6.83,57.14,5.11,33.33,15,36.00,39,30.95,4           11
2026-07-19,津,6,3,5234,塚越海斗,27,群馬,54,A1,6.86,55.12,5.96,40.74,37,42.15,21,34.19,44
2026-07-19,津,6,4,5114,小林孝彰,26,福井,51,B1,5.86,42.86,4.32,25.00,33,31.85,70,34.13,2           10
2026-07-19,津,6,5,5010,宇留田翔,29,三重,54,A2,5.66,40.16,5.91,40.51,63,31.01,36,33.33,3            1
2026-07-19,津,6,6,5120,山本稔太,25,愛知,55,B1,4.74,29.03,5.33,36.67,55,32.11,66,33.00,2
2026-07-19,津,7,1,5066,鈴木孝明,27,埼玉,54,A1,6.69,53.04,5.44,33.33,25,38.38,75,53.33,14
2026-07-19,津,7,2,5279,石渡翔一,23,東京,54,B1,5.39,35.63,5.28,33.33,21,41.12,31,38.71,5            2
2026-07-19,津,7,3,4983,前田篤哉,29,愛知,52,A1,7.03,55.93,6.44,43.75,32,37.89,30,36.07,21
2026-07-19,津,7,4,5196,鰐部太空,24,愛知,54,A1,6.48,44.83,5.45,45.45,24,40.78,49,40.18,5F
2026-07-19,津,7,5,5088,高憧四季,26,大阪,44,A1,7.12,54.35,6.43,47.62,62,32.23,12,32.46,6           12
2026-07-19,津,7,6,5246,楠将太郎,24,埼玉,52,A2,5.22,38.55,3.56,22.22,70,29.92,65,31.51,2            3
2026-07-19,津,8,1,5139,大場恒季,26,愛知,50,A1,6.74,54.62,5.64,31.82,46,33.59,45,37.17,35
2026-07-19,津,8,2,5042,畑田汰一,27,埼玉,51,A1,6.50,46.15,7.56,74.07,22,40.94,59,31.07,22
2026-07-19,津,8,3,4984,森下愛梨,29,静岡,50,B1,4.81,30.77,5.55,30.00,52,33.94,18,39.36,6           12
2026-07-19,津,8,4,5090,生方靖亜,25,群馬,55,B1,5.06,30.30,4.56,22.22,36,41.58,60,31.36,6            3
2026-07-19,津,8,5,5220,青木蓮,25,埼玉,51,A2,6.52,50.00,5.33,33.33,31,37.17,16,38.98,12
2026-07-19,津,8,6,5089,前田翔,26,愛知,52,A1,6.87,52.69,6.83,58.33,49,43.27,15,30.36,2            2
2026-07-19,津,9,1,5141,大澤風葵,25,群馬,50,A1,6.69,52.22,6.44,55.56,34,27.83,76,41.82,63
2026-07-19,津,9,2,5039,倉田茂将,28,愛知,56,B1,4.29,25.51,4.78,22.22,47,28.68,13,34.26,6
2026-07-19,津,9,3,5256,中山翔太,22,三重,52,A1,6.01,43.88,6.21,43.45,40,41.07,28,36.45,5            3
2026-07-19,津,9,4,5182,宮崎安奈,28,埼玉,47,B1,4.53,24.68,4.76,28.26,53,34.95,23,32.61,6            1
2026-07-19,津,9,5,4967,中村魁生,28,大阪,50,A1,7.03,55.26,5.93,46.67,60,34.29,47,30.00,3F
2026-07-19,津,9,6,5252,荒木颯斗,23,愛知,53,A2,5.94,42.50,4.52,33.33,38,39.81,73,33.61,3            4
2026-07-19,津,10,1,5034,若林義人,28,静岡,55,A1,6.73,52.21,6.61,47.22,71,28.32,44,32.03,33
2026-07-19,津,10,2,5035,櫻井優,28,埼玉,53,A2,5.58,36.79,3.44,16.67,48,32.23,33,46.99,2            3
2026-07-19,津,10,3,5017,澤田尚也,27,滋賀,51,A1,6.58,48.70,5.50,25.00,67,33.64,38,33.33,16
2026-07-19,津,10,4,5289,佃來紀,25,大阪,53,A2,5.84,41.00,3.29,5.88,39,43.10,29,37.61,1            5
2026-07-19,津,10,5,4914,吉田裕平,29,愛知,51,A1,7.06,49.07,7.52,43.48,35,33.04,46,42.15,3            4
2026-07-19,津,10,6,5114,小林孝彰,26,福井,51,B1,5.86,42.86,4.32,25.00,33,31.85,70,34.13,2            6
2026-07-19,津,11,1,5132,中野希一,27,埼玉,53,A1,6.83,57.14,5.11,33.33,15,36.00,39,30.95,4            6
2026-07-19,津,11,2,5019,柴田百恵,26,静岡,44,B1,5.30,31.48,4.50,21.43,20,33.98,32,49.48,5            3
2026-07-19,津,11,3,5280,廣瀬凜,23,滋賀,51,A1,7.16,54.76,3.39,5.56,16,38.53,61,28.95,41
2026-07-19,津,11,4,5068,前田滉,26,愛知,51,A1,7.63,61.05,8.18,72.73,27,34.17,52,31.82,1            5
2026-07-19,津,11,5,5275,松田淳平,24,三重,52,A1,6.62,54.03,4.76,28.57,23,29.91,67,33.04,11
2026-07-19,津,11,6,5229,吉川晴人,23,滋賀,56,A2,5.27,34.51,2.82,11.76,73,36.97,72,30.69,5            1
2026-07-19,津,12,1,5088,高憧四季,26,大阪,44,A1,7.12,54.35,6.43,47.62,62,32.23,12,32.46,6            7
2026-07-19,津,12,2,5045,平川香織,25,埼玉,46,A2,6.82,49.59,5.95,42.50,29,29.29,63,33.33,4            6
2026-07-19,津,12,3,5013,山下夏鈴,28,三重,45,B1,5.75,39.25,4.97,32.20,30,31.15,24,35.66,5            2
2026-07-19,津,12,4,5205,刑部亜里,29,静岡,48,A2,6.28,40.68,6.00,50.00,72,34.29,19,31.48,3            4
2026-07-19,津,12,5,4984,森下愛梨,29,静岡,50,B1,4.81,30.77,5.55,30.00,52,33.94,18,39.36,6            8
2026-07-19,津,12,6,5213,湯淺紀香,27,群馬,47,B1,5.36,33.64,6.10,60.00,43,28.04,56,45.87,6            5
2026-07-19,常滑,1,1,3769,佐竹恒彦,52,滋賀,52,A2,5.67,39.24,5.00,29.41,34,26.25,47,55.56,4 351446
2026-07-19,常滑,1,2,4129,宇野博之,46,愛知,56,B1,3.92,16.67,6.06,31.25,28,27.32,25,20.00,255 552      6
2026-07-19,常滑,1,3,5378,鈴木結平,22,静岡,50,B2,1.74,1.39,2.50,8.33,33,26.75,64,45.00,8
2026-07-19,常滑,1,4,4116,川田正人,45,徳島,51,B1,4.51,13.75,5.59,36.36,50,34.46,15,0.00,554 234      5
2026-07-19,常滑,1,5,4665,加藤啓太,42,愛知,51,B1,4.07,16.28,4.57,23.81,7,34.29,58,53.85,3 63654      8
2026-07-19,常滑,1,6,5456,今村天次,20,兵庫,51,B2,1.89,0.00,0.00,0.00,55,27.88,42,66.67,664 3 55     6
2026-07-19,常滑,2,1,4104,木下陽介,46,東京,59,B1,3.42,15.07,4.60,26.67,42,38.80,26,22.22,2 222515    10
2026-07-19,常滑,2,2,4094,中島真二,45,福岡,54,B1,4.99,34.15,4.00,12.50,45,30.48,44,80.00,3 36524      7
2026-07-19,常滑,2,3,3743,林美憲,51,徳島,53,A1,5.13,37.25,6.42,47.37,37,33.15,66,41.67,63646422     9
2026-07-19,常滑,2,4,3731,高濱芳久,53,広島,53,B1,4.91,25.64,0.00,0.00,26,35.87,56,20.00,533 2533
2026-07-19,常滑,2,5,3637,齋藤和政,55,愛知,55,B1,4.10,20.73,4.45,20.48,10,41.30,68,0.00,1 64564      7
2026-07-19,常滑,2,6,3722,西村秀樹,56,福岡,53,B1,2.95,5.13,1.20,0.00,20,32.00,18,72.73,465 3 41     8
2026-07-19,常滑,3,1,4318,桑原将光,41,東京,52,A2,5.23,26.67,5.31,25.00,54,29.14,43,36.36,4 44326      8
