会場,レース,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,モーター番号,モーター2率,ボート番号,ボート2率,今節成績ほか
大村,1,1,5055,眞鳥章太,30,長崎,53,A2,5.94,40.57,5.47,35.29,69,28.57,66,30.77,146 6       10
大村,1,2,5104,山田丈,27,福岡,51,A2,5.57,36.92,5.12,36.00,36,29.41,58,22.22,5 612       12
大村,1,3,4241,大串重幸,41,長崎,52,A2,5.58,33.06,5.85,40.35,54,38.89,32,45.45,3 125        6
大村,1,4,4804,高田ひか,31,三重,48,A1,6.67,51.35,6.08,40.00,62,53.85,11,47.62,444 1       11
大村,1,5,4409,坂元浩仁,40,愛知,56,A2,6.85,53.51,6.03,47.06,61,42.86,68,25.00,566 3        8
大村,1,6,5075,中島秀治,30,滋賀,53,A2,6.09,36.72,6.07,39.29,52,41.18,56,22.22,4 5425
大村,2,1,4227,安達裕樹,43,三重,53,A2,6.19,37.50,7.00,42.86,43,35.29,34,60.00,4 543       12
大村,2,2,3961,谷村一哉,47,山口,55,A2,6.63,46.21,6.41,41.18,59,69.23,55,50.00,234 5        9
大村,2,3,3959,坪井康晴,48,静岡,53,A1,7.01,47.37,7.84,48.00,70,28.57,43,44.44,2 234       11
大村,2,4,4685,島村隆幸,35,徳島,51,A1,7.54,64.91,8.00,62.50,67,35.71,17,40.91,233 4       10
大村,2,5,4991,宗行治哉,28,広島,52,A2,6.58,45.45,6.59,40.91,63,41.67,74,25.00,342 2        7
大村,2,6,3777,樋口亮,50,長崎,53,A2,6.27,48.89,6.56,50.64,66,38.46,13,26.32,665 4        8
大村,3,1,4600,井内将太,41,広島,52,A2,6.78,52.14,5.62,36.17,65,30.77,40,33.33,146 2        8
大村,3,2,4352,下條雄太,40,長崎,52,A1,6.45,47.69,7.61,62.50,17,68.75,62,53.85,5 4 61      12
大村,3,3,3837,秋山広一,51,香川,52,A2,6.27,44.95,5.50,36.84,29,23.08,81,53.33,1 4 32
大村,3,4,4553,坪口竜也,37,長崎,52,A2,5.91,39.80,6.39,47.37,15,25.00,65,35.71,6 3 56
大村,3,5,4704,河野大,37,徳島,51,A2,6.57,48.57,5.76,31.71,57,50.00,14,52.17,256 1       11
大村,3,6,4590,渡邉優美,33,福岡,49,A1,6.30,37.50,6.27,29.73,34,58.82,73,46.67,4 214
大村,4,1,4095,福来剛,45,東京,52,A1,7.08,58.82,7.55,51.72,38,35.29,31,53.33,5 321
大村,4,2,4441,末永由楽,39,岡山,55,A2,6.02,36.15,5.31,23.08,71,25.00,47,00.00,665 53
大村,4,3,5029,中亮太,29,福岡,53,A2,6.99,57.14,9.00,00.00,13,60.00,24,45.45,4 2 35      12
大村,4,4,5042,畑田汰一,27,埼玉,52,A1,6.25,42.42,7.13,65.22,49,38.89,57,33.33,1 415       11
大村,4,5,5142,常住蓮,25,佐賀,50,A1,7.17,50.50,6.15,45.45,56,47.37,69,50.00,335 3        9
大村,4,6,4966,田川大貴,28,長崎,54,A2,5.51,41.18,6.10,47.73,80,40.00,16,27.27,562 64
大村,5,1,4370,山口達也,39,岡山,52,A1,6.11,45.16,6.44,55.56,77,30.77,63,38.46,624 56
大村,5,2,3944,山口裕二,47,長崎,52,A2,6.14,43.22,5.88,41.21,53,58.82,59,57.14,6 2532
大村,5,3,4415,下出卓矢,39,福井,57,A2,6.25,52.43,6.57,42.86,58,36.84,20,37.50,151 2       11
大村,5,4,3854,吉川元浩,53,兵庫,52,A1,6.81,44.44,6.42,25.00,47,52.94,37,50.00,F 313
大村,5,5,5002,上田健太,30,愛知,52,A2,5.84,38.74,5.75,35.71,30,42.86,15,40.91,3 666       12
大村,5,6,4028,田村隆信,48,徳島,58,A1,6.41,47.75,7.35,42.31,33,44.44,12,30.00,5 2 41
大村,6,1,4908,上田龍星,30,大阪,51,A1,6.56,39.81,9.16,89.47,64,22.22,85,64.29,521 4       11
大村,6,2,4171,榎幸司,43,長崎,51,A2,6.12,43.85,6.38,45.27,74,35.71,28,47.37,463 46
大村,6,3,5087,佐藤航,26,埼玉,54,A2,6.95,57.66,4.59,35.29,25,35.71,51,66.67,2 5 26
大村,6,4,3942,寺田祥,47,山口,55,A1,6.88,52.34,6.48,32.26,20,66.67,50,66.67,2 1 52
大村,6,5,4961,西橋奈未,29,福井,46,A1,6.57,45.54,5.83,39.13,31,73.33,76,23.08,5 56F
大村,6,6,4241,大串重幸,41,長崎,52,A2,5.58,33.06,5.85,40.35,54,38.89,32,45.45,3 125        1
大村,7,1,4991,宗行治哉,28,広島,52,A2,6.58,45.45,6.59,40.91,63,41.67,74,25.00,342 2        2
大村,7,2,4477,篠崎仁志,38,福岡,56,A1,7.32,52.59,7.43,55.32,35,33.33,70,57.14,4 324
大村,7,3,4290,稲田浩二,41,兵庫,51,A1,6.95,47.06,7.33,55.56,41,43.75,72,28.57,1 134
大村,7,4,4531,武富智亮,37,佐賀,54,A2,6.24,42.61,6.26,48.94,40,33.33,27,28.57,3 366
大村,7,5,4989,石原翼,29,静岡,52,A2,6.09,40.71,6.25,45.00,37,41.18,79,50.00,3 255       12
大村,7,6,4939,宮之原輝,28,東京,52,A1,6.81,49.52,7.73,60.00,81,40.00,36,44.44,113 23
大村,8,1,4409,坂元浩仁,40,愛知,56,A2,6.85,53.51,6.03,47.06,61,42.86,68,25.00,566 3        1
大村,8,2,3590,濱野谷憲,52,東京,55,A1,6.59,41.18,7.10,55.00,24,46.67,25,41.67,1 6 31
大村,8,3,3777,樋口亮,50,長崎,53,A2,6.27,48.89,6.56,50.64,66,38.46,13,26.32,665 4        2
大村,8,4,3908,重成一人,47,香川,57,A1,6.25,45.95,6.93,39.29,22,23.08,53,44.44,1 4 33
大村,8,5,4600,井内将太,41,広島,52,A2,6.78,52.14,5.62,36.17,65,30.77,40,33.33,146 2        3
大村,8,6,4659,木下翔太,35,大阪,54,A1,7.25,50.00,6.35,42.31,45,25.00,48,30.00,1 132
大村,9,1,5142,常住蓮,25,佐賀,50,A1,7.17,50.50,6.15,45.45,56,47.37,69,50.00,335 3        4
大村,9,2,5043,中村日向,27,香川,53,A1,7.00,51.67,6.43,42.86,76,23.08,18,27.27,325 12
大村,9,3,3984,坂口周,48,三重,53,A2,6.48,44.53,6.07,40.74,79,25.00,78,23.08,255 14
大村,9,4,4828,松山将吾,31,滋賀,51,A1,6.70,47.52,5.76,33.33,23,40.00,33,22.22,5 1 15
大村,9,5,4420,津久井拓,38,群馬,54,A2,5.80,37.12,5.44,44.44,46,29.41,46,63.64,4 451
大村,9,6,3961,谷村一哉,47,山口,55,A2,6.63,46.21,6.41,41.18,59,69.23,55,50.00,234 5        2
